Time,ax,ay,az,lax,lay,laz,gx,gy,gz
92279.0,7.671875,-3.175781,-3.292969,-0.644531,-0.011719,0.582031,-0.644531,0.210938,-0.070312
92303.0,6.789062,-3.097656,-3.027344,-1.710938,-0.027344,0.933594,-0.626953,0.203125,-0.095703
92319.0,5.949219,-2.945312,-2.910156,-2.070312,-0.023438,1.003906,-0.552734,0.164062,-0.126953
92343.0,3.6875,-2.292969,-2.757812,-4.84375,0.652344,1.203125,-0.460938,0.140625,-0.056641
92359.0,1.960938,-1.414062,-2.453125,-5.734375,1.011719,1.394531,-0.453125,0.130859,0.066406
92379.0,-0.222656,-0.265625,-2.492188,-8.03125,2.210938,1.625,-0.574219,0.080078,0.158203
92399.0,-0.910156,0.273438,-2.71875,-9.128906,2.878906,1.378906,-0.892578,-0.029297,0.216797
92419.0,0.738281,0.273438,-3.5625,-8.882812,3.375,0.890625,-1.388672,-0.087891,0.109375
92430.0,2.539062,-0.148438,-4.292969,-7.753906,3.070312,0.507812,-1.605469,-0.076172,0.013672
92446.0,5.792969,-1.222656,-6.398438,-5.9375,2.59375,-0.164062,-1.789062,-0.080078,-0.095703
92469.0,11.621094,-2.449219,-8.503906,0.789062,0.578125,-3.640625,-1.845703,-0.201172,-0.554688
92484.0,14.523438,-2.640625,-9.425781,9.722656,-0.054688,-6.089844,-1.730469,-0.234375,-0.763672
92499.0,25.332031,-0.457031,-15.09375,13.285156,0.910156,-7.714844,-1.953125,-0.404297,-0.990234
92523.0,25.976562,5.097656,-19.5,17.542969,6.628906,-14.820312,-1.982422,-0.429688,-0.941406
92541.0,23.535156,7.933594,-19.765625,15.109375,9.277344,-15.0,-3.240234,-1.099609,-0.826172
92559.0,31.042969,7.242188,-21.300781,21.460938,10.609375,-16.804688,-5.613281,-0.822266,-0.597656
92579.0,32.652344,1.113281,-17.773438,22.71875,7.796875,-16.144531,-5.380859,-0.037109,-0.730469
92592.0,32.652344,-1.644531,-13.5625,22.902344,-8.515625,0.300781,-4.298828,0.705078,-0.708984
92632.0,15.332031,-5.128906,0.34375,6.832031,-6.144531,5.359375,1.925781,0.476562,-1.505859
92649.0,6.941406,-2.066406,1.492188,2.710938,-4.023438,5.667969,2.734375,0.046875,-1.552734
92664.0,3.957031,-2.027344,2.257812,-5.535156,-3.523438,7.820312,2.740234,0.060547,-1.535156
92702.0,-7.382812,-4.707031,0.957031,-15.984375,-5.699219,6.003906,2.390625,0.355469,-1.035156
92721.0,-7.539062,-5.589844,0.535156,-16.15625,-6.550781,5.582031,1.691406,0.035156,-0.785156
92748.0,4.722656,-6.390625,-0.613281,-5.152344,-7.714844,4.632812,1.248047,0.523438,-0.349609
92773.0,1.195312,-4.636719,-0.957031,-7.546875,-5.414062,3.980469,1.058594,0.625,-0.080078
92788.0,-0.183594,-2.988281,-2.605469,-8.488281,-4.628906,3.050781,0.78125,0.46875,0.183594
92812.0,-0.796875,-2.5625,-2.800781,-9.640625,-3.101562,1.976562,0.386719,0.449219,0.582031
92829.0,-0.71875,-1.070312,-2.492188,-9.625,-2.296875,2.128906,0.164062,0.460938,0.957031
92852.0,-0.679688,0.921875,-2.074219,-9.617188,0.742188,2.53125,-0.384766,0.386719,1.152344
92869.0,-0.488281,0.234375,-1.800781,-9.511719,0.597656,2.617188,-0.757812,0.265625,1.181641
92888.0,-0.527344,-1.296875,-1.574219,-9.410156,-0.9375,2.867188,-0.539062,0.169922,1.15625
92906.0,-0.871094,-1.640625,-1.304688,-9.480469,-1.15625,2.921875,-0.341797,0.097656,1.162109
92921.0,-0.757812,-1.644531,-1.035156,-9.5625,-1.105469,3.585938,-0.158203,0.029297,1.183594
92953.0,-0.679688,0.117188,-0.382812,-9.554688,0.882812,4.070312,0.185547,-0.023438,1.068359
92990.0,-0.144531,-1.035156,-0.765625,-8.910156,0.078125,3.710938,0.001953,-0.207031,0.826172
93031.0,-1.253906,-0.339844,-2.875,-9.839844,1.058594,1.703125,0.96875,-0.710938,0.458984
93061.0,5.640625,-1.222656,-7.273438,-2.742188,0.457031,-2.535156,1.515625,-1.105469,0.287109
93071.0,11.382812,-1.296875,-10.152344,3.089844,0.492188,-5.339844,1.730469,-1.214844,0.302734
